smiles,Activity2
C=CCOC(=O)NCCCCC(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C1CCCN1C(=O)C(CO)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC=CC(=O)OC)NC(=O)C(CC(N)=O)NC(C)=O)C(C)C)C(C)O)C(=O)O,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc4cccnc4c3)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NC3CCCc4ccccc43)cc2)CC1,1.0
NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccc(F)cc1,1.0
CN1CCN(C2CCN(C(=O)n3sc4c(ccc[n+]4[O-])c3=O)CC2)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2ccccn2)CC1,1.0
C=CC(=O)Nc1cccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)N3CCCCC3)CC2)cc1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCC3CCOCC3)cc2)CC1,1.0
O=C1Nc2cc(Br)ccc2C1=CC(=O)c1cccnc1,1.0
COc1ccc(CNC(=O)n2sc3c(ccc[n+]3[O-])c2=O)cc1OC,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCN3CCOCC3)cc2)CC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(CCCc3ccccc3)CC2)cc1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(OCCF)n2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NC3CC3c3ccccc3)cc2)CC1,1.0
O=C(C1CC1)N1CCN(C(=O)n2sc3ncccc3c2=O)CC1,1.0
